Date,Open,High,Low,Close,Adj Close,Volume
2020-08-11,13668.309570,13811.519531,13450.230469,13466.269531,13466.269531,1890000
2020-08-12,13437.570313,13471.820313,13026.009766,13308.519531,13308.519531,1863600
2020-08-13,13373.160156,13392.349609,13254.389648,13291.320313,13291.320313,1556700
2020-08-14,13272.709961,13495.969727,13242.780273,13489.009766,13489.009766,1554000
2020-08-17,13542.009766,13756.610352,13490.639648,13742.230469,13742.230469,2271300
2020-08-18,13748.519531,13813.019531,13692.070313,13768.169922,13768.169922,1959000
2020-08-19,13741.269531,13741.269531,13472.959961,13480.849609,13480.849609,1947600
2020-08-20,13387.820313,13476.070313,13270.120117,13320.919922,13320.919922,1570000
2020-08-21,13445.959961,13547.790039,13373.719727,13478.000000,13478.000000,1568900
2020-08-24,13565.280273,13708.120117,13418.959961,13666.690430,13666.690430,1735200
2020-08-25,13692.469727,13788.490234,13620.620117,13669.410156,13669.410156,1678700
2020-08-26,13680.589844,13717.900391,13376.660156,13428.400391,13428.400391,1705100
2020-08-27,13465.889648,13548.660156,13348.450195,13535.089844,13535.089844,1363300
2020-08-28,13509.370117,13868.299805,13483.280273,13851.320313,13851.320313,1648300
2020-08-31,13929.750000,13994.139648,13755.360352,13758.230469,13758.230469,1847100
2020-09-01,13729.389648,13849.660156,13662.690430,13849.660156,13849.660156,1455500
2020-09-02,13881.070313,13944.160156,13737.830078,13887.429688,13887.429688,1800200
2020-09-03,13871.269531,13933.419922,13722.580078,13772.370117,13772.370117,1622300
2020-09-04,13501.910156,13680.059570,13487.690430,13656.660156,13656.660156,1409300
2020-09-07,13633.509766,13714.320313,13232.240234,13284.030273,13284.030273,1802400
2020-09-08,13315.150391,13351.570313,13118.940430,13293.330078,13293.330078,1637100
2020-09-09,13107.980469,13122.759766,12778.429688,12861.750000,12861.750000,1951400
2020-09-10,13001.379883,13068.230469,12709.750000,12742.849609,12742.849609,1696400
2020-09-11,12711.089844,12952.469727,12702.620117,12942.950195,12942.950195,1282500
2020-09-14,13024.559570,13107.280273,12921.759766,13021.990234,13021.990234,1370500
2020-09-15,13032.280273,13148.169922,12976.030273,13143.459961,13143.459961,1212700
2020-09-16,13123.500000,13137.719727,12947.049805,13011.280273,13011.280273,1192800
2020-09-17,12970.339844,13113.769531,12870.990234,13015.190430,13015.190430,1221700
2020-09-18,13026.110352,13253.679688,12987.589844,13245.089844,13245.089844,1489800
2020-09-21,13280.009766,13289.599609,13135.240234,13149.500000,13149.500000,1346100
2020-09-22,13052.080078,13212.240234,12981.969727,13023.429688,13023.429688,1275000
2020-09-23,13044.809570,13148.940430,12991.660156,13110.070313,13110.070313,1099100
2020-09-24,13018.299805,13044.379883,12816.610352,12816.610352,12816.610352,1251500
2020-09-25,12876.080078,12919.610352,12764.259766,12814.169922,12814.169922,988200
2020-09-28,12860.089844,12890.900391,12752.389648,12760.929688,12760.929688,903400
2020-09-29,12843.230469,12966.849609,12798.650391,12900.700195,12900.700195,959500
2020-09-30,12948.969727,13040.040039,12834.769531,12907.450195,12907.450195,965000
2020-10-09,13161.360352,13323.809570,13145.750000,13289.259766,13289.259766,1245300
2020-10-12,13386.339844,13708.070313,13382.700195,13708.070313,13708.070313,1720200
2020-10-13,13678.620117,13820.559570,13622.950195,13798.580078,13798.580078,1303600
2020-10-14,13781.559570,13781.780273,13664.730469,13691.040039,13691.040039,1378500
2020-10-15,13702.830078,13737.080078,13617.080078,13624.889648,13624.889648,1258800
2020-10-16,13611.910156,13665.580078,13439.879883,13532.730469,13532.730469,1134800
2020-10-19,13638.780273,13660.540039,13393.019531,13421.190430,13421.190430,1173900
2020-10-20,13417.219727,13603.879883,13371.549805,13603.879883,13603.879883,1040400
2020-10-21,13613.870117,13613.870117,13396.540039,13467.910156,13467.910156,1011600
2020-10-22,13419.389648,13435.410156,13252.059570,13396.179688,13396.179688,1000000
2020-10-23,13405.530273,13487.110352,13110.019531,13128.459961,13128.459961,947400
2020-10-26,13056.299805,13242.629883,12922.589844,13191.250000,13191.250000,899800
2020-10-27,13159.370117,13291.799805,13146.549805,13269.650391,13269.650391,927600
2020-10-28,13273.500000,13438.469727,13188.660156,13388.099609,13388.099609,1089100
2020-10-29,13219.889648,13582.309570,13200.780273,13519.660156,13519.660156,1181300
2020-10-30,13544.290039,13550.360352,13204.250000,13236.599609,13236.599609,1317700
2020-11-02,13269.969727,13462.419922,13258.160156,13420.959961,13420.959961,1354400
2020-11-03,13476.580078,13592.919922,13414.000000,13580.040039,13580.040039,1286400
2020-11-04,13586.330078,13691.690430,13544.830078,13659.500000,13659.500000,1112100
2020-11-05,13802.179688,13894.259766,13728.639648,13894.259766,13894.259766,1401600
2020-11-06,13932.410156,13932.410156,13708.750000,13838.419922,13838.419922,1483100
2020-11-09,13934.370117,14197.849609,13934.370117,14141.150391,14141.150391,1902600
2020-11-10,14121.690430,14121.690430,13908.209961,13993.339844,13993.339844,1648600
2020-11-11,13925.440430,13981.990234,13715.440430,13720.169922,13720.169922,1509200
2020-11-12,13789.299805,13846.870117,13724.339844,13792.070313,13792.070313,1202800
2020-11-13,13755.290039,13802.709961,13620.889648,13754.549805,13754.549805,1241600
2020-11-16,13811.849609,13850.830078,13669.250000,13850.830078,13850.830078,1416300
2020-11-17,13843.009766,13843.009766,13628.820313,13732.519531,13732.519531,1530800
2020-11-18,13710.019531,13773.580078,13602.690430,13658.200195,13658.200195,1457000
2020-11-19,13633.969727,13812.780273,13578.330078,13777.450195,13777.450195,1342200
2020-11-20,13789.980469,13865.719727,13773.209961,13852.419922,13852.419922,1311700
2020-11-23,13871.709961,14021.500000,13795.919922,13955.280273,13955.280273,1795400
2020-11-24,13958.009766,13962.339844,13848.910156,13902.540039,13902.540039,1545700
2020-11-25,13923.660156,13933.790039,13656.089844,13656.089844,13656.089844,1566300
2020-11-26,13651.429688,13692.730469,13452.679688,13599.990234,13599.990234,1305000
2020-11-27,13627.860352,13690.879883,13542.679688,13690.879883,13690.879883,1288200
2020-11-30,13720.679688,13815.490234,13634.160156,13670.110352,13670.110352,1868100
2020-12-01,13650.389648,13940.900391,13646.690430,13930.370117,13930.370117,1788300
2020-12-02,13950.740234,13991.450195,13858.450195,13961.580078,13961.580078,1850300
2020-12-03,13955.980469,14009.509766,13889.620117,13970.679688,13970.679688,1781000
2020-12-04,13933.879883,14049.209961,13903.839844,14026.660156,14026.660156,1424800
2020-12-07,14021.160156,14054.879883,13958.740234,13973.480469,13973.480469,1400600
2020-12-08,14000.870117,14040.500000,13942.660156,13973.889648,13973.889648,1233800
2020-12-09,13998.620117,14017.349609,13710.860352,13716.530273,13716.530273,1412600
2020-12-10,13672.049805,13814.799805,13621.129883,13731.339844,13731.339844,1206600
2020-12-11,13767.480469,13771.959961,13431.549805,13555.139648,13555.139648,1488200
2020-12-14,13583.190430,13695.320313,13511.780273,13692.129883,13692.129883,1132700
2020-12-15,13682.280273,13783.040039,13641.719727,13763.309570,13763.309570,1081800
2020-12-16,13791.410156,13807.179688,13709.799805,13751.089844,13751.089844,1106100
2020-12-17,13746.280273,13901.830078,13688.830078,13889.870117,13889.870117,1297300
2020-12-18,13911.830078,13939.929688,13806.620117,13854.120117,13854.120117,1220400
2020-12-21,13858.660156,14134.849609,13819.700195,14134.849609,14134.849609,1468600
2020-12-22,14085.290039,14172.769531,13872.500000,13882.299805,13882.299805,1618600
2020-12-23,13912.519531,14078.129883,13897.110352,14015.019531,14015.019531,1544300
2020-12-24,13998.360352,14048.620117,13867.660156,13915.570313,13915.570313,1360400
2020-12-25,13879.240234,14017.059570,13835.519531,14017.059570,14017.059570,1320000
2020-12-28,14020.950195,14112.589844,13959.139648,14044.099609,14044.099609,1494900
2020-12-29,14042.790039,14082.500000,13915.889648,13970.209961,13970.209961,1521700
2020-12-30,13970.450195,14208.679688,13968.089844,14201.570313,14201.570313,1531700
2020-12-31,14226.280273,14476.549805,14226.280273,14470.679688,14470.679688,1683400
2021-01-04,14516.120117,14859.089844,14486.250000,14827.469727,14827.469727,2007300
2021-01-05,14760.250000,15149.099609,14716.790039,15147.570313,15147.570313,2173300
2021-01-06,15221.440430,15295.070313,14987.370117,15187.610352,15187.610352,1891600
2021-01-07,15178.349609,15356.400391,15101.669922,15356.400391,15356.400391,2066500
2021-01-08,15402.740234,15453.179688,15162.709961,15319.290039,15319.290039,2017900
2021-01-11,15353.080078,15420.679688,15011.589844,15115.379883,15115.379883,2163300
2021-01-12,15053.870117,15460.030273,15020.259766,15460.030273,15460.030273,2029700
2021-01-13,15491.070313,15597.969727,15240.900391,15365.429688,15365.429688,2193700
2021-01-14,15283.559570,15354.120117,15033.469727,15070.129883,15070.129883,2011400
2021-01-15,15030.540039,15120.269531,14772.059570,15031.700195,15031.700195,1787000
2021-01-18,14980.500000,15309.790039,14898.879883,15269.269531,15269.269531,1757500
2021-01-19,15278.530273,15314.049805,14954.349609,15003.990234,15003.990234,1810700
2021-01-20,15023.740234,15246.780273,14958.219727,15223.360352,15223.360352,1481300
2021-01-21,15251.669922,15608.379883,15251.669922,15520.599609,15520.599609,1873400
2021-01-22,15508.940430,15632.330078,15381.599609,15628.730469,15628.730469,1835100
